Comp_OID,Oid_Type,Symbolic_name,CodingSystemName
2.16.840.1.113883,0,HL7,
2.16.840.1.113883.1,1,internalHL7objects,
2.16.840.1.113883.1.1,1,REGOBJECTS,
2.16.840.1.113883.1.2,1,CMET,
2.16.840.1.113883.1.3,1,RMIM,
2.16.840.1.113883.1.4,1,CLASS,
2.16.840.1.113883.1.5,1,ATTRIBUTE,
2.16.840.1.113883.2,2,hl7organizationalBodies,
2.16.840.1.113883.3,3,externalUseRoots,Roots For Delegated Registration Authorities
2.16.840.1.113883.3.1,3,ProVation,
2.16.840.1.113883.4,4,commonPublicNamespaces,Identifier Systems - Namespaces
2.16.840.1.113883.4.1,4,ssn,United States of America Social Security Numbers
2.16.840.1.113883.4.2,4,tin,
2.16.840.1.113883.4.3.40,4,OklahomaDLN,
2.16.840.1.113883.4.3.49,4,UtahDLN,
2.16.840.1.113883.4.3.38,4,NorthDakotaDLN,
2.16.840.1.113883.4.3.37,4,NorthCarolinaDLN,
2.16.840.1.113883.4.3.36,4,NewYorkDLN,
2.16.840.1.113883.4.3.35,4,NewMexicoDLN,
2.16.840.1.113883.4.3.34,4,NewJerseyDLN,
2.16.840.1.113883.4.3.48,4,TexasDLN,
2.16.840.1.113883.4.3.32,4,NevadaDLN,
2.16.840.1.113883.4.3.39,4,OhioDLN,
2.16.840.1.113883.4.3.15,4,HawaiiDLN,
2.16.840.1.113883.4.3.51,4,VirginiaDLN,
2.16.840.1.113883.4.3.53,4,WashingtonDLN,
2.16.840.1.113883.4.3.54,4,WestVirginiaDLN,
2.16.840.1.113883.4.3.55,4,WisconsinDLN,
2.16.840.1.113883.4.3.56,4,WyomingDLN,
2.16.840.1.113883.4.3.42,4,PennsylvaniaDLN,
2.16.840.1.113883.4.3.47,4,TennesseeDLN,
2.16.840.1.113883.4.3.41,4,OregonDLN,
2.16.840.1.113883.4.3.46,4,SouthDakotaDLN,
2.16.840.1.113883.4.3.45,4,SouthCarolinaDLN,
2.16.840.1.113883.4.3.31,4,NebraskaDLN,
2.16.840.1.113883.4.3.50,4,VermontDLN,
2.16.840.1.113883.4.3.30,4,MontanaDLN,
2.16.840.1.113883.4.3.44,4,RhodeIslandDLN,
2.16.840.1.113883.4.3.16,4,IdahoDLN,
2.16.840.1.113883.4.3.5,4,ArkansasDLN,
2.16.840.1.113883.4.3.9,4,ConnecticutDLN,
2.16.840.1.113883.4.3.8,4,ColoradoDLN,
2.16.840.1.113883.4.3.6,4,CaliforniaDLN,
2.16.840.1.113883.4.3.33,4,NewHampshireDLN,
2.16.840.1.113883.4.3.11,4,DCDLN,
2.16.840.1.113883.4.3.10,4,DelawareDLN,
2.16.840.1.113883.4.3.12,4,FloridaDLN,
2.16.840.1.113883.4.3.4,4,ArizonaDLN,
2.16.840.1.113883.4.3.2,4,AlaskaDLN,
2.16.840.1.113883.4.3.1,4,AlabamaDLN,
2.16.840.1.113883.4.3,4,USDLN,
2.16.840.1.113883.4.3.17,4,IllinoisDLN,
2.16.840.1.113883.4.3.26,4,MichiganDLN,
2.16.840.1.113883.4.3.29,4,MissouriDLN,
2.16.840.1.113883.4.3.18,4,IndianaDLN,
2.16.840.1.113883.4.3.28,4,MississippiDLN,
2.16.840.1.113883.4.3.25,4,MassachusettsDLN,
2.16.840.1.113883.4.3.24,4,MarylandDLN,
2.16.840.1.113883.4.3.23,4,MaineDLN,
2.16.840.1.113883.4.3.13,4,GeorgiaDLN,
2.16.840.1.113883.4.3.22,4,LouisianaDLN,
2.16.840.1.113883.4.3.21,4,KentuckyDLN,
2.16.840.1.113883.4.3.20,4,KansasDLN,
2.16.840.1.113883.4.3.19,4,IowaDLN,
2.16.840.1.113883.4.3.27,4,MinnesotaDLN,
2.16.840.1.113883.4.4,4,EIN,
2.16.840.1.113883.4.5,4,PTIN,
2.16.840.1.113883.5,5,v3codeSystems,HL7 V3 Coding Systems
2.16.840.1.113883.5.1,5,administrativeGender,Administrative Gender
2.16.840.1.113883.5.2,5,MaritalStatus,MaritalStatus
2.16.840.1.113883.5.1001,5,actMood,Act Mood
2.16.840.1.113883.5.1002,5,actRelationshipType,Act Relationship Type
2.16.840.1.113883.5.1003,5,Service actor type,Service actor type code
2.16.840.1.113883.5.1004,5,Service target type,Service target type code
2.16.840.1.113883.5.1007,5,DataType,DataType
2.16.840.1.113883.5.1008,5,nullFlavor,Null Flavor
2.16.840.1.113883.5.1009,5,CompressionALgorithm,CompressionALgorithm
2.16.840.1.113883.5.1010,5,IntegrityCheckAlgorithm,IntegrityCheckAlgorithm
2.16.840.1.113883.5.1011,5,TelecommunicationAddressUse,TelecommunicationAddressUse
2.16.840.1.113883.5.1012,5,PostalAddressUse,PostalAddressUse
2.16.840.1.113883.5.1013,5,Postal Address part type,Postal Address part type code
2.16.840.1.113883.5.1014,5,Person Name part type,Person Name part type
2.16.840.1.113883.5.1015,5,Person Name part type,Person Name part qualifier
2.16.840.1.113883.5.1016,5,OrganizationNameType,OrganizationNameType
2.16.840.1.113883.5.1017,5,CalendarType,CalendarType
2.16.840.1.113883.5.1018,5,Calendar cycle one letter code,Calendar cycle one letter code
2.16.840.1.113883.5.1019,5,Calendar cycle two letter code,Calendar cycle two letter code
2.16.840.1.113883.5.1020,5,ProbabilityDistributionType,ProbabilityDistributionType
2.16.840.1.113883.5.1021,5,PeriodicIntervalOfTimeAbbreviation,PeriodicIntervalOfTimeAbbreviation
2.16.840.1.113883.5.1022,5,GTSAbbreviation,GTSAbbreviation
2.16.840.1.113883.5.1023,5,Event code,Event codes
2.16.840.1.113883.6,6,externalCodeSystems,HL7 Registered External Coding Systems
2.16.840.1.113883.6.1,6,loinc,Logical Observation Identifier Names and Codes
2.16.840.1.113883.6.2,6,icd9cm,National Center for Health Statistics
2.16.840.1.113883.6.3,6,icd10,ICD10
2.16.840.1.113883.6.4,6,icd10PCS,"International Classification of Diseases, 10th Revision, Procedure Coding System (ICD-10-PCS)"
2.16.840.1.113883.6.5,6,snm,SNOMED
2.16.840.1.113883.6.6,6,read-Codes,CTV3
2.16.840.1.113883.6.7,6,naaccrCodes,NAACCR
2.16.840.1.113883.6.8,6,ucum,Unified Code for Units of Measure
2.16.840.1.113883.6.9,6,iso4217-HL7,ISO 4217 currency code
2.16.840.1.113883.6.10,6,mime,IETF MIME
2.16.840.1.113883.6.11,6,url,URL
2.16.840.1.113883.6.12,6,cpt-4,Current Procedure Terminology 4 (CPT-4)
2.16.840.1.113883.6.13,6,cdt-ADAcodes,Code on Dental Procedures and Nomenclature
2.16.840.1.113883.6.14,6,HPC,HCPCS
2.16.840.1.113883.6.15,6,nic,Nursing Intervention Classification
2.16.840.1.113883.6.16,6,noc,NOC - Nursing Outcome Classification
2.16.840.1.113883.6.17,6,hhcc,Home HealthCare Classification System
2.16.840.1.113883.6.18,6,ib,ISBT 128
2.16.840.1.113883.8,8,HL7documents,HL7 Published Documents
2.16.840.1.113883.9,9,conformanceProfiles,Conformance Profiles
2.16.840.1.113883.3.2,3,root-Mayo-Clinic,Mayo Clinic OID root 
2.16.840.1.113883.6.19,6,camncvs,CAMNCVS
2.16.840.1.113883.6.20,6,nanda,NANDA
2.16.840.1.113883.3.3,3,Medscape,
